doc0: instruments; Archimandrite; Agathocles; anatomy; glutathione; Indic scripts; hydrogen ion; population pyramid; E-mail advertising; maximum transfer; John Philoponus; national average; crime rate; Southeast Asia; always respect; volleyball at; Pope Honorius; Summer Paralympics; body parts; below the national average; 
doc885: Wholesale; Liberals; Prudential; re-branded; Invitation; Wholesale Sports; Alberta Liberals; provincial election; soldiers stationed; locations throughout; made appearances; western Canada; The provincial; Liberal leader; Infantry Regiment; regular guest; eight seats; resign as leader; Hit Parade; The party's; 
doc886: accreditation; Avars; Winners'; Penistone; Anchialus; CIS accreditation; internationally recognized; Winners' Cup Final; given responsibility; economic depression; been broadcasting; stiff resistance; Tottenham Hotspur; widely considered; significant part; human resources; rapid expansion; bicycle racer; George Forbes; budget deficit; 
doc887: Petrarca; mortar; Pfc; practice; BM-S-11; worked his way; conspicuous gallantry; 2008 Isle; Medical University; seriously wounded; radio station; North Carolina; weather conditions; July 1943; same university; went to the aid; defending champion; mortar barrage; glorious death; Isle of Man TT; 
doc888: liability; high-speed; misrepresentation; Brussels; insurance; professional liability; liability insurance; Hazy Shade; Greatest Hits; Rockefeller Foundation; professional services; Hazy Shade of Winter; Carnegie Endowment; Bulldogs football; Georgia Bulldogs; Carnegie Endowment for International Peace; The accompanying; personal injury; property damage; primary reason; 
doc889: strictosidine; North-Eastern; secologanin; alkaloid; Gaulanitis; strictosidine synthase; former territories; number-one singles; primary and secondary; deciding vote; cell division; The governor; lower levels; been covered; featured on the album; The council; also featured; Supreme Court; This song; April 12; 
doc890: variability; Hollingworth; Zinner; Professionals; consecutively; environmental conditions; Zejtun Corinthians; The Professionals; Maltese Third; Glenelg North; film editing; Third Division; currently searching; Posts and Telecommunications; Canadian politician; premiership team; eliminating them; statements made; two substrates; been carefully; 
doc891: Cummings; Hartley; Sartorius; Franco-Prussian; Historiography; Colorado Rapids; Dominican Republic; Aston Villa; major championships; The performance; After suffering; MLS SuperDraft; Results in major championships; trading company; Alsace Region; Infantry Regiment; first patent; suggested in April; military service; same company; 
doc892: differential; Northwestern; championships; drive; Mississippi; centre differential; wheel drive; drive axles; Michigan State; municipal affairs; national championship; State University; contained within; Williams College; Commissioner of Indian Affairs; Indian Affairs; They compete; allowing them; Great Lakes; Air Force; 
doc893: known-unknowns; northwest-southeast; Warwick; Ghana's; uncertainties; entered Parliament; 1879 by-election; later represented; past experience; Penalty minutes; French explorer; hundred people; late nineteenth; Regular season; local studios; The estimated; In the late nineteenth century; last singles; EP released; ankle injury; 
doc894: Skanderbeg; Albanian; Wolverines; nationalism; nationalist; physical education; Albanian nationalism; sports facilities; Myth of Skanderbeg; abstract concepts; Japanese government; sport activities; Patrick Hamilton; historical facts; The Franciscans; their disposal; fully equipped; sports editor; rural localities; Associated Press; 
doc895: communication; Pendleton; Itanium; Corozzo; Cardinals; Jersey Constitution; officially launched; Rocky Horror; Fujitsu launched; starting third baseman; law enforcement; Mongol empire; Anna Robinson; Golden Horde; cutaneous condition characterized; West Jersey; significantly improved; professional services; provincial election; intelligence reports; 
doc896: hydrate; Hanušovice; mini-basin; Cunningham; Florence; gas hydrate; ending themes; randomly selected; internet radio; Girls' School; main characters; opening theme; surrounded by hills; small amount; theme music; found within; seven weeks; short period; The order; radio show; 
doc897: planetary; Carnegie; developmental; investigators; consummated; transaction was consummated; planetary systems; September 1994; original owners; deal was approved; West Coasts; solar system; East and West Coasts; November 23; our solar; November 17; deal was approved by the FCC; approved by the FCC; In September; The deal; 
doc898: Wainwright's; auditor; independence; responsibilities; audit; audit without independence; Great Yorkshire; perform the audit; original composition; Potsdam Conference; Kaliningrad Oblast; The collaboration; American Embassy; more likely; prevented them; existing world; although the number; sell records; limited edition; Prior to this competition; 
doc899: Walter; whalers; mezzo-soprano; remembering; Robbe; first marked; Dutch called; Robbe Bay; richest province; herbaceous plant; police arrive; mortally wounded; they occupied; name suggests; Grateful Dead; include the following; north coast; been renamed; century later; Third Division; 
doc900: organization’s; Outcome; spending; pupil; organizational; pupil spending; administration reported; executive producer; Work began; School District; early 1990s; video game; In 2010; in the United States; In 2007; In 2011; United States; 
doc901: Starfish; Makedonia; Elco; responsibility; Gutzmer; German championships; Big Dig; world record; oil painting; constitutional monarchy; travelled extensively; Zoey Zane; take responsibility; extrasolar planets; Naval Construction; political turmoil; logistical support; diplomatic missions; 200m individual medley; International Airport; 
doc902: Anglo-Saxon; Diaotonghuan; Jennings; phytoliths; Fleetwood; seed coat; first measurement; rice phytoliths; last generation; friction levels; seed coats; double tracked; Eighth Crusade; wild rice; Norman French; Old English; roughly 500 light seconds; Sierra grade; grade was double tracked; wild mammals; 
doc903: Tokuko; Rakhine; Guccini; Bourque; Psychology; Clinical Psychology; central Rakhine; American Association; gravel highway; Wexford County; longstanding tradition; indigenous population; Equipe 84; administrative centre; different approach; Emergency Services; important influence; foreign languages; sparsely populated; game-winning goal; 
doc904: Heavyweight; Gyro-Cator; for-profit; gyroscope; Honda; Heavyweight Champion; Education Management Corporation; WWWF World Heavyweight; occasional appearances; navigation systems; Wrestling Federation; navigation system; channel leading; current location; territory such; power supplied; NWA World Heavyweight; state agencies; help maintain; placed inside; 
doc905: copyright; Apocalypse; Khushab; lyrics; Foulke; lyrics and music; copyright 1982; Rusty Foulke; music by Rusty Foulke; music by Robert Scott; lyrics and music by Rusty Foulke; combined forces; animated series; Looking Glass; block until; first mentioned; final season; fourth and final; third season; episode of the second; 
doc906: comitatus; legion; Gelechiidae; cavalry; insecurity; family Gelechiidae; detachments from; moth in the family Gelechiidae; reached its peak; The trend; became known; genus of moth; from which; at their; may have; 
doc907: synthase; Preparation; enzymology; undeveloped; Raven; commercial development; Loch Raven; Maryland Transit Administration; northern terminus; Providence Road; chemical reaction; short section; Next Top Model; two major; A short; its two; High School; may refer; 
doc908: fullface; actor's; Painted; network’s; analyst; fullface masks; actor's face; Painted Lady; NFL Network; casting director; New Adventures; screen debut; Gordon Brown; acting role; small hill; big screen; The campus; Wan Chai; first major; area of about; 
doc909: aminotransferase; conserved; transaminase; Suffield; Connecticut; Suffield Mountain; Connecticut River Valley; switch region; Walker A; binding site; biological processes; politically motivated; family Gelechiidae; now predominantly; Walker B; southwest corner; family of transferases; systematic name; enzyme belongs; north through; 
